LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1213CAT1,T1213CAT2,T1213CAT3,T1213CAT4,T1213CAT5,T1213CAT1LA,T1213CAT2LA,T1213CAT3LA,T1213CAT4LA,T1213CAT5LA,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1213CAT1,PT1213CAT2,PT1213CAT3,PT1213CAT4,PT1213CAT5,PT1213CAT1LA,PT1213CAT2LA,PT1213CAT3LA,PT1213CAT4LA,PT1213CAT5LA,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
815,121370,Non-London,Primary,169,4.7,Low,"4,141",181,"4,322","2,301",175,653,262,163,135,94,51,325,56,0,195,"4,410",2315,84,206,80,3190,2922,149,340,87,4382,2381,148,213,69,3450,3018,164,355,80,4513,"2,554",200,233,41,"3,817","3,005",183,317,70,"4,729","2,809",144,235,31,"4,105","3,020",170,374,69,"4,798",2955,175,163,51,4410,"3,098",168,4322,653,51,640,91,-43,-29,1220,96%,4%,SUPP,4%,SUPP,6%,4%,3%,2%,1%,7%,1%,0%,4%,73%,3%,6%,3%,100%,NA,NA,NA,NA,NA,SUPP,4%,6%,2%,100%,NA,NA,NA,NA,NA,67%,5%,6%,1%,100%,NA,NA,NA,NA,NA,69%,4%,3%,6%,100%,NA,NA,NA,NA,NA,NA,4%,4%,1%,100%,NA,NA,NA,NA,NA,NA,1%,-2%,-2%,0%
815,121371,Non-London,Primary,58,3.4,Low,"5,488",149,"5,637",SUPP,574,SUPP,364,539,211,226,103,275,125,19,79,"2,515",SUPP,115,396,88,4544,2922,149,340,87,4382,3341,130,416,89,4969,3018,164,355,80,4513,SUPP,561,529,96,"5,871","3,005",183,317,70,"4,729","3,907",199,578,84,"6,075","3,020",170,374,69,"4,798",SUPP,574,539,103,6202,"3,098",168,5637,813,103,SUPP,459,143,15,1658,97%,3%,SUPP,9%,SUPP,6%,9%,3%,4%,2%,4%,2%,0%,1%,SUPP,3%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,10%,9%,2%,100%,NA,NA,NA,NA,NA,65%,3%,4%,5%,100%,NA,NA,NA,NA,NA,SUPP,9%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,6%,0%,0%,0%
815,121372,Non-London,Primary,174,11,Low,"4,071",33,"4,104","2,356",35,798,291,277,161,100,72,193,40,66,69,"4,458",2947,87,255,89,4040,2922,149,340,87,4382,2683,20,225,86,3688,3018,164,355,80,4513,"2,607",59,232,64,"3,757","3,005",183,317,70,"4,729","2,732",18,253,73,"3,881","3,020",170,374,69,"4,798",3154,35,277,72,4458,"3,098",168,4104,798,72,207,-52,22,-17,418,99%,1%,SUPP,1%,SUPP,7%,6%,4%,2%,2%,4%,1%,1%,2%,73%,2%,6%,2%,100%,NA,NA,NA,NA,NA,SUPP,1%,6%,2%,100%,NA,NA,NA,NA,NA,69%,2%,6%,2%,100%,NA,NA,NA,NA,NA,70%,0%,4%,3%,100%,NA,NA,NA,NA,NA,NA,1%,6%,2%,100%,NA,NA,NA,NA,NA,NA,-1%,0%,0%,0%
815,121373,Non-London,Primary,74,12.2,Low,"4,787",132,"4,919","2,255",279,416,284,364,197,195,50,291,58,54,132,"4,576",SUPP,87,438,42,4685,2922,149,340,87,4382,2685,180,423,69,5110,3018,164,355,80,4513,SUPP,121,349,SUPP,"4,296","3,005",183,317,70,"4,729",SUPP,288,292,51,"4,509","3,020",170,374,69,"4,798",2672,279,364,50,4576,"3,098",168,4919,416,50,NA,192,-74,8,-109,97%,3%,49%,6%,9%,6%,8%,4%,4%,1%,6%,1%,1%,3%,SUPP,2%,9%,1%,100%,NA,NA,NA,NA,NA,SUPP,4%,8%,1%,100%,NA,NA,NA,NA,NA,SUPP,3%,8%,SUPP,100%,NA,NA,NA,NA,NA,SUPP!,6%,3%,7%,100%,NA,NA,NA,NA,NA,58%,6%,8%,1%,100%,NA,NA,NA,NA,NA,NA,4%,-1%,0%,0%
815,121374,Non-London,Primary,188,3.2,Low,"4,112",192,"4,305","2,184",240,551,303,264,165,110,59,251,35,12,73,"4,246",2450,128,221,93,3637,2922,149,340,87,4382,2541,154,227,89,3745,3018,164,355,80,4513,"2,557",145,225,72,"3,835","3,005",183,317,70,"4,729","2,570",232,239,56,"3,959","3,020",170,374,69,"4,798",2734,240,264,59,4246,"3,098",168,4305,551,59,284,112,43,-34,609,96%,4%,SUPP,6%,SUPP,7%,6%,4%,3%,1%,6%,1%,0%,2%,67%,4%,6%,3%,100%,NA,NA,NA,NA,NA,SUPP,4%,6%,2%,100%,NA,NA,NA,NA,NA,67%,4%,6%,2%,100%,NA,NA,NA,NA,NA,65%,6%,3%,6%,100%,NA,NA,NA,NA,NA,NA,6%,6%,1%,100%,NA,NA,NA,NA,NA,NA,2%,0%,-2%,0%
815,121376,Non-London,Primary,76,1.3,Low,"8,128",94,"8,222",SUPP,373,SUPP,695,574,152,255,102,407,197,63,-16,"2,801",SUPP,465,574,140,6255,2922,149,340,87,4382,3969,461,711,124,8025,3018,164,355,80,4513,SUPP,841,788,103,"9,123","3,005",183,317,70,"4,729","11,637",713,"1,374",218,"17,834","3,020",170,374,69,"4,798",SUPP,373,574,102,7989,"3,098",168,8222,1260,102,SUPP,-92,0,-38,1734,99%,1%,SUPP,5%,SUPP,9%,7%,2%,3%,1%,5%,2%,1%,0%,SUPP,7%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,6%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,9%,9%,1%,100%,NA,NA,NA,NA,NA,65%,4%,3%,8%,100%,NA,NA,NA,NA,NA,SUPP,5%,7%,1%,100%,NA,NA,NA,NA,NA,SUPP,-2%,-2%,-1%,0%
815,121377,Non-London,Primary,193,3.6,Low,"4,091",166,"4,257","2,324",332,722,336,289,126,100,75,234,29,21,134,"4,719",2512,154,205,103,3657,2922,149,340,87,4382,2576,145,222,41,3759,3018,164,355,80,4513,"2,691",148,239,179,"4,165","3,005",183,317,70,"4,729","2,689",203,237,-72,"3,949","3,020",170,374,69,"4,798",3045,332,289,75,4719,"3,098",168,4257,722,75,533,178,84,-28,1062,96%,4%,SUPP,7%,SUPP,7%,6%,3%,2%,2%,5%,1%,0%,3%,69%,4%,6%,3%,100%,NA,NA,NA,NA,NA,SUPP,4%,6%,1%,100%,NA,NA,NA,NA,NA,65%,4%,6%,4%,100%,NA,NA,NA,NA,NA,68%,5%,4%,3%,100%,NA,NA,NA,NA,NA,NA,7%,6%,2%,100%,NA,NA,NA,NA,NA,NA,3%,0%,-1%,0%
815,121378,Non-London,Primary,101,3,Low,"4,384",254,"4,639","1,838",266,839,314,434,199,135,76,420,29,11,121,"4,682",SUPP,62,332,113,4417,2922,149,340,87,4382,2768,79,352,72,4307,3018,164,355,80,4513,SUPP,186,339,74,"4,185","3,005",183,317,70,"4,729","2,656",175,428,47,"4,488","3,020",170,374,69,"4,798",2677,266,434,76,4682,"3,098",168,4639,839,76,NA,204,102,-37,265,95%,5%,39%,6%,18%,7%,9%,4%,3%,2%,9%,1%,0%,3%,SUPP,1%,8%,3%,100%,NA,NA,NA,NA,NA,SUPP,2%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,4%,8%,2%,100%,NA,NA,NA,NA,NA,59%,4%,4%,10%,100%,NA,NA,NA,NA,NA,57%,6%,9%,2%,100%,NA,NA,NA,NA,NA,NA,5%,1%,-1%,0%
815,121492,Non-London,Primary,30,0,Low,"8,386",101,"8,487",SUPP,211,SUPP,562,507,269,193,100,299,200,290,215,"2,845",SUPP,108,731,89,7966,2922,149,340,87,4382,4618,439,745,107,7573,3599,241,447,153,6323,SUPP,194,693,SUPP,"7,379","3,005",183,317,70,"4,729",SUPP,201,891,99,"8,941","3,020",170,374,69,"4,798",SUPP,211,507,100,8718,"3,098",168,8487,2000,100,SUPP,103,-224,11,752,99%,1%,SUPP,2%,SUPP,6%,6%,3%,2%,1%,3%,2%,3%,2%,SUPP,1%,9%,1%,100%,NA,NA,NA,NA,NA,SUPP,6%,10%,1%,100%,NA,NA,NA,NA,NA,SUPP,3%,9%,SUPP,100%,NA,NA,NA,NA,NA,SUPP!,2%,4%,7%,100%,NA,NA,NA,NA,NA,SUPP,2%,6%,1%,100%,NA,NA,NA,NA,NA,SUPP,1%,-3%,0%,0%
815,121493,Non-London,Primary,33,3,Low,"7,349",120,"7,469","3,964",-126,703,724,752,244,181,121,621,82,36,153,"7,457",SUPP,285,478,98,5648,2922,149,340,87,4382,3734,198,521,100,6011,3018,164,355,80,4513,SUPP,110,608,112,"7,054","3,005",183,317,70,"4,729","4,588",275,644,127,"7,791","3,020",170,374,69,"4,798",4667,-126,752,121,7457,"3,098",168,7469,703,121,NA,-411,274,23,1809,98%,2%,SUPP,-2%,SUPP,10%,10%,3%,2%,2%,8%,1%,0%,2%,SUPP,5%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,2%,9%,2%,100%,NA,NA,NA,NA,NA,59%,4%,4%,7%,100%,NA,NA,NA,NA,NA,NA,-2%,10%,2%,100%,NA,NA,NA,NA,NA,NA,-7%,2%,0%,0%
